type,provider,latitude,longitude,city,activated,borough_code,borough
Free,LinkNYC - Citybridge,40.8338608398,-73.9414466096,New York,07/21/2016 12:00:00 AM +0000,1,Manhattan
Free,LinkNYC - Citybridge,40.8342453801,-73.9411590502,New York,07/21/2016 12:00:00 AM +0000,1,Manhattan
Free,LinkNYC - Citybridge,40.8340779996,-73.9409190001,New York,07/21/2016 12:00:00 AM +0000,1,Manhattan
Free,LinkNYC - Citybridge,40.834815140399996,-73.9404773099,New York,07/21/2016 12:00:00 AM +0000,1,Manhattan
Free,LinkNYC - Citybridge,40.6723020003,-73.9574577399,Brooklyn,01/05/2018 12:00:00 AM +0000,3,Brooklyn
Free,LinkNYC - Citybridge,40.6764075102,-73.9636101801,Brooklyn,01/05/2018 12:00:00 AM +0000,3,Brooklyn
Free,LinkNYC - Citybridge,40.6874572699,-73.9819201796,Brooklyn,03/29/2018 12:00:00 AM +0000,3,Brooklyn
Free,LinkNYC - Citybridge,40.6905944398,-73.9879984001,Brooklyn,05/03/2017 12:00:00 AM +0000,3,Brooklyn
Free,LinkNYC - Citybridge,40.798538,-73.9692788598,New York,08/04/2016 12:00:00 AM +0000,1,Manhattan
Free,LinkNYC - Citybridge,40.6791430002,-73.9254739997,Brooklyn,01/17/2017 12:00:00 AM +0000,3,Brooklyn
Free,LinkNYC - Citybridge,40.7418824396,-73.9544797405,Queens,03/22/2017 12:00:00 AM +0000,4,Queens
Free,LinkNYC - Citybridge,40.7186019996,-73.83818400060001,Queens,07/29/2016 12:00:00 AM +0000,4,Queens
Free,LinkNYC - Citybridge,40.7381085702,-73.8857174696,Queens,01/12/2017 12:00:00 AM +0000,4,Queens
Free,LinkNYC - Citybridge,40.7206713786,-73.84284540739999,Queens,07/18/2017 12:00:00 AM +0000,4,Queens
Free,LinkNYC - Citybridge,40.7189530002,-73.8389760002,Queens,03/28/2017 12:00:00 AM +0000,4,Queens
Free,LinkNYC - Citybridge,40.7179603122,-73.8368052731,Queens,04/18/2017 12:00:00 AM +0000,4,Queens
Free,LinkNYC - Citybridge,40.717212350100006,-73.83549621979999,Queens,03/28/2017 12:00:00 AM +0000,4,Queens
Free,LinkNYC - Citybridge,40.7148609997,-73.8323409999,Queens,04/18/2017 12:00:00 AM +0000,4,Queens
Free,LinkNYC - Citybridge,40.7110719996,-73.8281600001,Queens,04/05/2017 12:00:00 AM +0000,4,Queens
Free,LinkNYC - Citybridge,40.7578690696,-73.98570282979999,New York,04/16/2018 12:00:00 AM +0000,1,Manhattan
